time,bar_t,side,event,detail
2019-07-22 03:59,1209,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-22 07:59,1210,L,R_REPLACED,"{""old_key"": 1208, ""new_key"": 1210}"
2019-07-22 07:59,1210,L,ORDER_CANCEL,"{""key"": 1208, ""reason"": ""R_REPLACED"", ""level"": 10404.5239}"
2019-07-22 08:00,1211,L,ORDER_CREATE,"{""key"": 1210, ""level"": 10486.7319, ""stop"": 10353.845, ""atr_idx"": 1210, ""atr_end_time"": 1563782399999, ""r_confirm_time"": 1563782399999}"
2019-07-22 08:00,1211,L,SIGNAL,"{""key"": 1210}"
2019-07-22 11:59,1211,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-22 14:44,1212,L,R_INVALID,"{""key"": 1210, ""mode"": ""5M""}"
2019-07-22 14:44,1212,L,ORDER_CANCEL,"{""key"": 1210, ""reason"": ""R_INVALID"", ""level"": 10486.7319}"
2019-07-22 20:00,1214,L,ORDER_CREATE,"{""key"": 1213, ""level"": 10297.2317, ""stop"": 10136.5987, ""atr_idx"": 1213, ""atr_end_time"": 1563825599999, ""r_confirm_time"": 1563825599999}"
2019-07-22 20:00,1214,L,SIGNAL,"{""key"": 1213}"
2019-07-22 20:04,1214,L,R_INVALID,"{""key"": 1213, ""mode"": ""5M""}"
2019-07-22 20:04,1214,L,ORDER_CANCEL,"{""key"": 1213, ""reason"": ""R_INVALID"", ""level"": 10297.2317}"
2019-07-22 23:59,1214,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-23 00:00,1215,L,D_DISARM,"{""day"": ""2019-07-22"", ""P0"": 9252.0, ""H1"": 11068.99}"
2019-07-23 07:59,1216,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-23 15:59,1218,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-23 23:59,1220,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-24 07:59,1222,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
2019-07-24 19:59,1225,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-07-14 03:59-9""}"
