side,entry_time,exit_time,result,entry,stop0,risk_pct,r_net_pct,margin_pnl_10x,mae_pct,hold_days,P0,H1,R_low,R_high,fills
L,2022-09-28 08:00,2022-10-13 12:00,stop,18708.25,18415.87,1.563,2.948,29.48,-0.77,15.33,18356.39,20385.86,18471.28,19238.28,tp@20223 tp@20388 stop@18416
S,2022-11-22 20:00,2022-11-23 00:00,stop,16117.43,16363.94,1.530,-1.660,-16.60,-0.85,0.33,17190.00,15476.00,16315.00,15683.33,stop@16364
L,2023-01-13 12:00,2023-02-11 00:00,dexit,18851.59,18657.98,1.027,13.783,137.83,-0.21,28.67,16256.30,18000.00,18714.12,19057.70,dexit@21625
L,2023-02-16 12:00,2023-02-16 20:00,stop,24464.51,24205.74,1.058,-0.679,-6.79,-0.74,0.50,21351.07,24380.00,24278.58,24756.35,tp@24689 stop@24206
L,2023-02-19 08:00,2023-02-19 16:00,stop,24609.10,24356.71,1.026,-0.803,-8.03,-0.20,0.50,22047.28,25250.00,24430.00,24877.00,tp@24689 stop@24357
L,2023-03-15 08:00,2023-03-15 16:00,stop,24308.21,23904.49,1.661,-1.175,-11.75,-0.22,0.50,20270.60,26386.87,23976.42,25074.24,tp@24489 stop@23904
L,2023-03-18 16:00,2023-04-21 00:00,dexit,26696.16,26185.21,1.914,4.722,47.22,-0.70,33.50,23896.95,27756.84,26264.00,27756.84,dexit@28244
L,2023-04-27 12:00,2023-05-01 04:00,stop,28677.04,28293.72,1.337,-1.572,-15.72,-1.07,3.83,26942.82,30036.00,28378.86,29278.88,stop@28294
S,2023-06-15 12:00,2023-06-15 16:00,stop,25035.25,25282.14,0.986,-1.116,-11.16,-0.29,0.33,27391.77,24820.56,25206.52,24800.00,stop@25282
L,2023-06-24 12:00,2023-06-30 12:00,stop,30360.81,29821.34,1.777,-2.082,-20.82,-1.65,6.17,28257.99,31431.94,29911.07,31431.94,stop@29821
S,2023-08-25 12:00,2023-08-29 12:00,stop,26228.21,26523.35,1.125,-1.370,-13.70,-0.33,4.17,28783.48,25300.00,26444.02,25864.00,stop@26523
L,2023-10-21 00:00,2024-01-12 20:00,v,29476.93,29140.07,1.143,42.550,425.50,-0.04,84.00,27112.66,30207.55,29227.75,29910.00,v@42783
L,2024-03-04 00:00,2024-03-05 16:00,stop,62340.50,61635.63,1.131,2.637,26.37,-0.06,1.83,56691.85,63676.35,61821.09,63231.88,tp@65912 tp@67091 stop@61636
L,2024-03-10 12:00,2024-03-11 00:00,stop,68804.07,67995.40,1.175,-1.315,-13.15,-1.03,0.67,62779.14,69990.00,68200.00,69887.61,stop@67995
L,2024-04-08 00:00,2024-04-09 12:00,stop,69405.82,68643.22,1.099,0.061,0.61,-0.52,1.67,64493.07,69692.00,68849.77,70326.29,tp@72280 stop@68643
S,2024-05-04 16:00,2024-05-06 08:00,stop,63966.24,64733.62,1.200,-1.375,-13.75,-1.06,1.83,64734.00,56552.82,64540.00,62924.37,stop@64734
L,2024-05-19 04:00,2024-05-19 16:00,stop,66964.16,66400.20,0.842,-0.541,-5.41,-0.43,0.67,60187.12,66444.16,66600.00,67294.35,tp@67530 stop@66400
S,2024-07-05 12:00,2024-07-06 16:00,stop,56418.06,57718.64,2.305,-2.465,-24.65,-1.81,1.33,63861.76,56771.00,57546.00,53485.93,stop@57719
L,2024-08-29 00:00,2024-08-30 12:00,stop,59024.81,58267.74,1.283,-1.453,-14.53,-0.58,1.67,58034.01,63212.00,58443.07,60160.00,stop@58268
L,2024-10-15 16:00,2024-12-05 20:00,v,66047.31,65005.40,1.578,22.702,227.02,-1.19,51.33,58946.00,66500.00,65201.00,67950.00,tp@66591 tp@67897 v@96946
S,2025-01-02 00:00,2025-01-02 08:00,stop,95241.16,96538.75,1.362,-1.497,-14.97,-0.80,0.50,99963.70,91530.45,96250.00,93189.59,stop@96539
L,2025-02-01 00:00,2025-02-01 08:00,stop,103245.58,101815.63,1.385,-1.520,-15.20,-1.09,0.50,97777.77,106457.44,102122.00,105574.40,stop@101816
S,2025-02-13 20:00,2025-02-14 16:00,stop,96747.71,97857.52,1.147,-1.297,-12.97,-0.85,1.00,102500.01,94088.23,97564.83,95336.00,stop@97858
S,2025-03-01 20:00,2025-03-02 12:00,stop,85775.13,86817.67,1.215,-1.360,-13.60,-0.95,0.83,89414.15,78258.52,86558.00,84334.39,stop@86818
S,2025-03-12 08:00,2025-03-12 12:00,stop,82946.68,84034.61,1.312,-1.442,-14.42,-0.16,0.33,86500.00,76606.00,83783.26,81296.00,stop@84035
L,2025-04-13 08:00,2025-04-13 16:00,stop,84300.58,83224.52,1.276,-1.411,-14.11,-0.97,0.50,74620.00,84300.00,83474.94,85905.00,stop@83225
L,2025-06-10 12:00,2025-06-12 08:00,stop,108643.91,107313.00,1.225,-0.940,-9.40,-1.22,2.00,100372.26,110530.17,107635.91,110530.17,tp@109248 stop@107313
L,2025-08-13 00:00,2025-08-13 20:00,tp,119122.60,117930.15,1.001,2.020,20.20,-0.17,1.00,111920.00,122335.16,118285.00,120324.43,tp@120284 tp@120883 tp@121856 tp@123428
S,2025-11-02 20:00,2025-11-04 16:00,tp,110559.93,111583.76,0.926,6.171,61.71,-0.17,2.00,116400.00,106304.34,111250.01,109735.59,tp@105382 tp@104590 tp@103305 tp@101228
S,2025-11-15 00:00,2025-11-25 00:00,dexit,96319.20,97703.34,1.437,5.504,55.04,-0.55,10.17,107500.00,98000.40,97411.11,94012.45,tp@94435 tp@91648 dexit@88300
L,2025-12-03 12:00,2025-12-05 12:00,stop,91965.83,90717.26,1.358,-1.543,-15.43,-1.17,2.17,83822.76,92307.65,90990.23,93958.58,stop@90717
L,2026-01-09 08:00,2026-01-13 20:00,tp,90089.75,89043.07,1.162,3.648,36.48,-0.44,4.67,84450.01,94789.08,89311.00,91469.00,tp@92541 tp@92991 tp@93721 tp@94902
S,2026-02-03 04:00,2026-02-05 16:00,tp,78699.48,79598.08,1.142,10.233,102.33,-0.49,2.67,84270.02,74604.00,79360.00,77564.62,tp@73525 tp@72184 tp@70008 tp@66492
S,2026-02-08 08:00,2026-02-08 20:00,stop,70508.52,71905.14,1.981,-1.428,-14.28,-1.48,0.67,73341.18,60000.00,71690.07,67582.48,tp@70008 stop@71905
S,2026-02-24 16:00,2026-02-25 00:00,stop,64284.39,65221.83,1.458,-1.065,-10.65,-0.71,0.50,70983.00,63888.79,65026.75,62700.80,tp@63915 stop@65222
S,2026-06-26 12:00,2026-07-01 20:00,stop,60220.02,60942.27,1.199,-0.728,-7.28,-1.20,5.50,67292.15,59102.70,60759.99,59239.78,tp@59170 stop@60942
L,2026-08-22 04:00,2026-08-23 04:00,stop,77062.14,76007.05,1.369,-1.524,-15.24,-0.73,1.17,64166.00,79500.00,76235.76,78760.68,stop@76007
L,2026-08-25 08:00,2026-08-25 12:00,stop,79367.75,78233.20,1.429,-1.559,-15.59,-0.60,0.33,73027.02,80000.00,78468.61,81272.62,stop@78233
