time,bar_t,event,detail
2019-06-29 07:59,1072,R_REPLACED,"{""old_key"": 1065, ""new_key"": 1072}"
2019-06-29 07:59,1072,ORDER_CANCEL,"{""key"": 1065, ""reason"": ""R_REPLACED"", ""level"": 10851.8218}"
2019-06-29 08:00,1073,ORDER_CREATE,"{""key"": 1072, ""level"": 11757.3701, ""stop"": 11465.5, ""atr_idx"": 1072, ""atr_end_time"": 1561795199999, ""r_confirm_time"": 1561795199999}"
2019-06-29 08:00,1073,SIGNAL,"{""key"": 1072}"
2019-06-29 08:30,1073,FILL,"{""signal_id"": ""L-2019-06-29 07:59-6"", ""expected"": 11757.3701, ""entry"": 11757.3701, ""stop"": 11465.5, ""key"": 1072}"
2019-06-29 11:44,1073,EXIT,"{""exit_kind"": ""tp"", ""px"": 11969.103, ""frac"": 0.25, ""signal_id"": ""L-2019-06-29 07:59-6""}"
2019-06-29 15:59,1074,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-06-29 07:59-6""}"
2019-06-30 11:59,1079,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2019-06-29 07:59-6""}"
2019-06-30 13:49,1080,EXIT,"{""exit_kind"": ""stop"", ""px"": 11465.5, ""frac"": 0.75, ""signal_id"": ""L-2019-06-29 07:59-6""}"
2019-07-11 00:00,1143,D_ARM,"{""day"": ""2019-07-10"", ""P0"": 11220.0, ""H1"": 13147.08}"
2019-07-11 04:00,1144,ORDER_CREATE,"{""key"": 1143, ""level"": 11755.9789, ""stop"": 11534.293, ""atr_idx"": 1143, ""atr_end_time"": 1562817599999, ""r_confirm_time"": 1562817599999}"
2019-07-11 04:00,1144,SIGNAL,"{""key"": 1143}"
2019-07-11 04:00,1144,FILL,"{""signal_id"": ""L-2019-07-11 03:59-7"", ""expected"": 11755.9789, ""entry"": 11755.9789, ""stop"": 11534.293, ""key"": 1143}"
2019-07-11 04:19,1144,EXIT,"{""exit_kind"": ""stop"", ""px"": 11534.293, ""frac"": 1.0, ""signal_id"": ""L-2019-07-11 03:59-7""}"
2019-07-21 00:00,1203,D_ARM,"{""day"": ""2019-07-20"", ""P0"": 9252.0, ""H1"": 11068.99}"
2019-07-21 00:00,1203,ORDER_CREATE,"{""key"": 1196, ""level"": 10259.9266, ""stop"": 10091.4745, ""atr_idx"": 1202, ""atr_end_time"": 1563667199999, ""r_confirm_time"": 1563580799999}"
2019-07-21 00:00,1203,SIGNAL,"{""key"": 1196}"
2019-07-21 03:59,1203,R_REPLACED,"{""old_key"": 1196, ""new_key"": 1203}"
2019-07-21 03:59,1203,ORDER_CANCEL,"{""key"": 1196, ""reason"": ""R_REPLACED"", ""level"": 10259.9266}"
2019-07-21 04:00,1204,ORDER_CREATE,"{""key"": 1203, ""level"": 10716.0011, ""stop"": 10533.315, ""atr_idx"": 1203, ""atr_end_time"": 1563681599999, ""r_confirm_time"": 1563681599999}"
2019-07-21 04:00,1204,SIGNAL,"{""key"": 1203}"
2019-07-21 04:00,1204,FILL,"{""signal_id"": ""L-2019-07-21 03:59-8"", ""expected"": 10716.0011, ""entry"": 10716.0011, ""stop"": 10533.315, ""key"": 1203}"
2019-07-21 04:04,1204,EXIT,"{""exit_kind"": ""stop"", ""px"": 10533.315, ""frac"": 1.0, ""signal_id"": ""L-2019-07-21 03:59-8""}"
2019-08-08 00:00,1311,D_ARM,"{""day"": ""2019-08-07"", ""P0"": 10927.8, ""H1"": 12330.7}"
2019-08-08 00:00,1311,ORDER_CREATE,"{""key"": 1310, ""level"": 11661.7129, ""stop"": 11452.539, ""atr_idx"": 1310, ""atr_end_time"": 1565222399999, ""r_confirm_time"": 1565222399999}"
2019-08-08 00:00,1311,SIGNAL,"{""key"": 1310}"
2019-08-08 07:59,1312,R_REPLACED,"{""old_key"": 1310, ""new_key"": 1312}"
2019-08-08 07:59,1312,ORDER_CANCEL,"{""key"": 1310, ""reason"": ""R_REPLACED"", ""level"": 11661.7129}"
2019-08-08 08:00,1313,ORDER_CREATE,"{""key"": 1312, ""level"": 11745.9454, ""stop"": 11581.152, ""atr_idx"": 1312, ""atr_end_time"": 1565251199999, ""r_confirm_time"": 1565251199999}"
2019-08-08 08:00,1313,SIGNAL,"{""key"": 1312}"
2019-08-08 13:55,1314,FILL,"{""signal_id"": ""L-2019-08-08 07:59-9"", ""expected"": 11745.9454, ""entry"": 11745.9454, ""stop"": 11581.152, ""key"": 1312}"
2019-08-08 17:29,1315,EXIT,"{""exit_kind"": ""stop"", ""px"": 11581.152, ""frac"": 1.0, ""signal_id"": ""L-2019-08-08 07:59-9""}"
2019-08-23 00:00,1400,D_ARM,"{""day"": ""2019-08-22"", ""P0"": 9858.0, ""H1"": 10804.13}"
2019-08-23 00:00,1400,ORDER_CREATE,"{""key"": 1396, ""level"": 9864.1921, ""stop"": 9732.714, ""atr_idx"": 1399, ""atr_end_time"": 1566518399999, ""r_confirm_time"": 1566475199999}"
2019-08-23 00:00,1400,SIGNAL,"{""key"": 1396}"
2019-08-23 15:59,1403,R_REPLACED,"{""old_key"": 1396, ""new_key"": 1403}"
2019-08-23 15:59,1403,ORDER_CANCEL,"{""key"": 1396, ""reason"": ""R_REPLACED"", ""level"": 9864.1921}"
2019-08-23 16:00,1404,ORDER_CREATE,"{""key"": 1403, ""level"": 10150.5, ""stop"": 9989.7306, ""atr_idx"": 1403, ""atr_end_time"": 1566575999999, ""r_confirm_time"": 1566575999999}"
2019-08-23 16:00,1404,SIGNAL,"{""key"": 1403}"
2019-08-23 23:59,1405,R_REPLACED,"{""old_key"": 1403, ""new_key"": 1405}"
2019-08-23 23:59,1405,ORDER_CANCEL,"{""key"": 1403, ""reason"": ""R_REPLACED"", ""level"": 10150.5}"
