version,feature,population,period,tercile,n,mean_R,mean_R_top2rm,median_R,p_win2r,p_ride7,stop_rate,pr_p5,pr_p95
V3,RET14,P-S,DEV,1,20,0.1148,-0.1591,-1.0819,10.00,15.00,75.00,,
V3,RET14,P-S,DEV,2,19,0.5668,0.3169,0.9443,21.05,5.26,89.47,,
V3,RET14,P-R(median of runs),DEV,0,20.0,-0.0329,,-0.7152,9.52,0.00,72.22,0.00,8.70
V3,RET14,P-R(median of runs),DEV,1,14.0,-0.1993,,-1.1067,7.14,0.00,85.71,0.00,10.56
V3,RET14,P-R(median of runs),DEV,2,15.0,0.0796,,-1.0747,13.33,0.00,84.62,0.00,11.80
V3,RET14,P-A,TEST,0,8,-0.0975,-0.0975,-0.7431,12.50,0.00,75.00,,
V3,RET14,P-A,TEST,1,9,3.1785,-0.0403,1.1007,22.22,22.22,77.78,,
V3,RET14,P-A,TEST,2,10,0.7989,0.7989,-0.0499,30.00,10.00,80.00,,
V3,RET14,P-S,TEST,0,9,-0.2065,-0.2065,-1.0698,11.11,0.00,77.78,,
V3,RET14,P-S,TEST,1,12,2.2740,-0.1601,-0.0539,16.67,16.67,83.33,,
V3,RET14,P-S,TEST,2,14,0.2584,0.2584,-1.0790,21.43,7.14,85.71,,
V3,RET14,P-R(median of runs),TEST,0,11.0,0.4854,,-0.1583,17.42,7.69,62.50,0.00,20.00
V3,RET14,P-R(median of runs),TEST,1,8.0,0.6337,,-1.0987,16.67,14.29,83.33,0.00,40.00
V3,RET14,P-R(median of runs),TEST,2,6.0,0.1930,,-1.0655,10.00,0.00,88.89,0.00,22.36
V3,STOPPCT,P-A,DEV,0,16,-0.0488,-0.4066,-1.0999,6.25,6.25,93.75,,
V3,STOPPCT,P-A,DEV,1,18,-0.3018,-0.3018,-1.0867,5.56,5.56,88.89,,
V3,STOPPCT,P-A,DEV,2,18,0.3328,0.0545,-0.5590,22.22,11.11,77.78,,
V3,STOPPCT,P-S,DEV,0,19,-0.0882,-0.3885,-1.0959,5.26,10.53,89.47,,
V3,STOPPCT,P-S,DEV,1,20,-0.1080,-0.1080,-1.0819,10.00,5.00,90.00,,
V3,STOPPCT,P-S,DEV,2,19,0.3600,0.0987,-0.0865,21.05,10.53,78.95,,
V3,STOPPCT,P-A,TEST,0,13,2.6072,0.4550,1.1007,30.77,15.38,76.92,,
V3,STOPPCT,P-A,TEST,1,8,0.4537,0.4537,-1.0878,25.00,12.50,75.00,,
V3,STOPPCT,P-A,TEST,2,6,-0.2846,-0.2846,-0.7431,0.00,0.00,83.33,,
V3,STOPPCT,P-S,TEST,0,15,2.1105,0.2130,1.0166,26.67,13.33,80.00,,
V3,STOPPCT,P-S,TEST,1,12,0.1027,0.1027,-1.0878,16.67,8.33,83.33,,
V3,STOPPCT,P-S,TEST,2,8,-0.4803,-0.4803,-1.0675,0.00,0.00,87.50,,
V3,DDEPTH,P-A,DEV,0,15,-0.6286,-0.6286,-1.0959,0.00,0.00,100.00,,
V3,DDEPTH,P-A,DEV,1,18,0.3605,0.0689,-1.0791,22.22,16.67,83.33,,
V3,DDEPTH,P-A,DEV,2,19,0.1430,-0.1305,-0.0865,10.53,5.26,78.95,,
V3,DDEPTH,P-S,DEV,0,19,-0.3105,-0.3105,-1.0932,5.26,5.26,94.74,,
V3,DDEPTH,P-S,DEV,1,20,0.3094,0.0458,-1.0791,20.00,15.00,85.00,,
V3,DDEPTH,P-S,DEV,2,19,0.1430,-0.1305,-0.0865,10.53,5.26,78.95,,
V3,DDEPTH,P-A,TEST,0,17,2.0374,0.3832,-1.0718,29.41,17.65,76.47,,
V3,DDEPTH,P-A,TEST,1,7,-0.0591,-0.0591,-1.0698,14.29,0.00,85.71,,
V3,DDEPTH,P-A,TEST,2,3,0.5312,0.5312,0.9935,0.00,0.00,66.67,,
V3,DDEPTH,P-S,TEST,0,22,1.4158,0.1130,-1.0790,22.73,13.64,81.82,,
V3,DDEPTH,P-S,TEST,1,9,-0.5176,-0.5176,-1.0783,11.11,0.00,88.89,,
V3,DDEPTH,P-S,TEST,2,4,0.6394,0.6394,0.9787,0.00,0.00,75.00,,
