version,stop_id,group,src,entry_time,entry_px,stop_px,stop_dist_pct,year,stopped,censored,max_R,bars_to_exit
V2,S1,BASE_S1,0.236-2,2019-05-17 11:15,7246.05,7103.81,1.9630,2019,1,0,0.0000,5
V2,S1,BASE_S1,0.236-2,2019-05-18 12:20,7329.08,7185.21,1.9630,2019,0,1,46.1597,17268
V2,S1,BASE_S1,0.236-2,2019-05-12 03:30,7186.01,7044.95,1.9630,2019,1,0,2.3803,96
V2,S1,BASE_S1,0.236-2,2019-05-17 18:40,7077.70,6938.77,1.9630,2019,0,1,49.6085,17268
V2,S1,BASE_S1,0.236-2,2019-05-14 01:40,7997.61,7840.62,1.9630,2019,1,0,0.0000,9
V2,S1,BASE_S1,0.236-2,2019-05-11 17:35,6939.52,6803.30,1.9630,2019,1,0,4.2744,262
V2,S1,BASE_S1,0.236-2,2019-05-19 14:05,7888.89,7734.03,1.9630,2019,1,0,2.4939,272
V2,S1,BASE_S1,0.236-2,2019-05-12 00:05,7156.06,7015.59,1.9630,2019,1,0,0.3165,5
V2,S1,BASE_S1,0.236-2,2019-05-11 19:55,6904.78,6769.24,1.9630,2019,1,0,4.5522,234
V2,S1,BASE_S1,0.236-2,2019-05-19 13:45,7886.37,7731.56,1.9630,2019,1,0,2.5110,276
V2,S1,BASE_S1,0.236-2,2019-05-19 00:50,7299.36,7156.08,1.9630,2019,0,1,46.5551,17268
V2,S1,BASE_S1,0.236-2,2019-05-13 18:50,7794.08,7641.08,1.9630,2019,1,0,1.9995,52
V2,S1,BASE_S1,0.236-2,2019-05-13 04:05,7031.05,6893.03,1.9630,2019,0,1,50.2757,17148
V2,S1,BASE_S1,0.236-2,2019-05-19 05:20,7941.83,7785.93,1.9630,2019,1,0,0.9690,84
V2,S1,BASE_S1,0.236-2,2019-05-14 06:15,7937.00,7781.20,1.9630,2019,1,0,2.7535,118
V2,S1,BASE_S1,0.236-2,2019-05-11 13:45,6789.87,6656.59,1.9630,2019,0,1,53.8710,17148
V2,S1,BASE_S1,0.236-2,2019-05-12 21:55,7139.21,6999.07,1.9630,2019,1,0,0.1055,4
V2,S1,BASE_S1,0.236-2,2019-05-13 23:45,7733.17,7581.37,1.9630,2019,1,0,4.1688,782
V2,S1,BASE_S1,0.236-2,2019-05-14 13:45,8175.00,8014.53,1.9630,2019,1,0,0.0310,11
V2,S1,BASE_S1,0.236-3,2019-05-13 07:45,6997.81,6745.58,3.6044,2019,0,1,27.6425,17148
V2,S1,BASE_S1,0.236-3,2019-05-13 01:45,7055.14,6800.85,3.6044,2019,0,1,27.1924,17148
V2,S1,BASE_S1,0.236-3,2019-05-20 18:55,7702.87,7425.23,3.6044,2019,0,1,22.5729,17268
V2,S1,BASE_S1,0.236-3,2019-05-14 21:50,7770.12,7490.06,3.6044,2019,1,0,1.9634,517
V2,S1,BASE_S1,0.236-3,2019-05-16 02:30,8269.50,7971.44,3.6044,2019,1,0,0.1219,26
V2,S1,BASE_S1,0.236-3,2019-05-18 02:55,7283.36,7020.84,3.6044,2019,0,1,25.4710,17268
V2,S1,BASE_S1,0.236-3,2019-05-14 17:05,8011.54,7722.77,3.6044,2019,1,0,0.1263,26
V2,S1,BASE_S1,0.236-3,2019-05-22 04:55,7921.30,7635.79,3.6044,2019,1,0,0.3317,204
V2,S1,BASE_S1,0.236-3,2019-05-16 08:15,8021.00,7731.89,3.6044,2019,1,0,0.2006,56
V2,S1,BASE_S1,0.236-3,2019-05-19 18:25,7958.70,7671.84,3.6044,2019,1,0,1.1029,222
V2,S1,BASE_S1,0.236-3,2019-05-14 04:55,8012.05,7723.27,3.6044,2019,1,0,1.2257,172
V2,S1,BASE_S1,0.236-3,2019-05-18 23:30,7268.42,7006.44,3.6044,2019,0,1,25.5804,17268
V2,S1,BASE_S1,0.236-3,2019-05-18 10:40,7282.82,7020.32,3.6044,2019,0,1,25.4750,17268
V2,S1,BASE_S1,0.236-3,2019-05-17 21:55,7263.00,7001.21,3.6044,2019,0,1,25.6202,17268
V2,S1,BASE_S1,0.236-3,2019-05-20 23:10,7914.39,7629.13,3.6044,2019,1,0,0.4485,561
V2,S1,BASE_S1,0.236-3,2019-05-13 08:40,7033.78,6780.26,3.6044,2019,0,1,27.3593,17148
V2,S1,BASE_S1,0.236-3,2019-05-16 23:40,7833.64,7551.29,3.6044,2019,1,0,0.3236,39
V2,S1,BASE_S1,0.236-3,2019-05-12 17:10,6901.73,6652.97,3.6044,2019,0,1,28.4136,17148
V2,S1,BASE_S1,0.236-3,2019-05-20 00:15,8032.09,7742.58,3.6044,2019,1,0,0.2685,150
