version,candidate_id,entry_time,entry_px,year,r_6h,r_24h,r_3d,r_7d,r_14d,r_30d,base_mean_6h,base_mean_24h,base_mean_3d,base_mean_7d,base_mean_14d,base_mean_30d,excess_6h,excess_24h,excess_3d,excess_7d,excess_14d,excess_30d
V2,0.236-63,2022-07-16 04:00,20831.95,2022,-0.01022,0.02382,0.04307,0.08971,0.13228,0.17471,0.01206,0.01827,0.03676,0.00684,0.05910,0.07240,-0.02228,0.00555,0.00631,0.08287,0.07319,0.10231
V2,0.236-64,2022-07-21 04:00,23186.39,2022,-0.00624,-0.01148,-0.03630,-0.00010,-0.00379,-0.09206,0.00276,-0.00928,0.00630,0.02454,0.04237,0.00163,-0.00901,-0.00220,-0.04260,-0.02464,-0.04616,-0.09368
V2,0.236-65,2022-09-15 14:35,19860.10,2022,-0.00438,-0.00702,0.00132,-0.04323,-0.04346,-0.03697,-0.00156,-0.00387,-0.04677,-0.06016,-0.05661,-0.06107,-0.00282,-0.00315,0.04809,0.01693,0.01314,0.02410
V2,0.236-66,2022-09-28 00:00,19142.18,2022,-0.01473,0.01559,0.01469,0.06070,-0.00396,0.05927,0.00109,-0.00077,0.00496,0.02248,0.01057,0.03600,-0.01582,0.01636,0.00974,0.03822,-0.01454,0.02327
V2,0.236-67,2023-01-12 13:30,18040.07,2023,0.04395,0.04508,0.13961,0.14030,0.24615,0.18658,0.00595,0.01990,0.04871,0.11997,0.16718,0.12162,0.03800,0.02518,0.09090,0.02034,0.07898,0.06496
V2,0.236-68,2023-01-24 09:00,22838.13,2023,-0.00113,-0.00851,0.00553,0.00341,0.00308,0.06694,0.00669,0.00848,0.01293,0.02176,-0.00221,0.05228,-0.00783,-0.01699,-0.00740,-0.01835,0.00528,0.01466
V2,0.236-69,2023-02-16 12:10,24464.51,2023,0.01888,-0.02664,0.00926,-0.02975,-0.04413,0.11176,0.00588,0.01628,0.03052,0.04121,-0.00304,0.11951,0.01300,-0.04291,-0.02126,-0.07096,-0.04109,-0.00775
V2,0.236-70,2023-02-19 08:00,24609.10,2023,0.00290,-0.00399,-0.02344,-0.06136,-0.09546,0.11191,0.00062,-0.00313,-0.00829,-0.03020,-0.07733,0.12342,0.00229,-0.00086,-0.01515,-0.03115,-0.01813,-0.01151
V2,0.236-71,2023-03-15 00:00,24708.67,2023,0.00021,-0.01584,0.10355,0.12870,0.09937,0.20633,0.00062,0.02151,0.08729,0.13977,0.15006,0.21553,-0.00041,-0.03735,0.01626,-0.01107,-0.05070,-0.00921
V2,0.236-72,2023-03-18 16:30,26696.16,2023,0.01772,0.04162,0.05397,0.03547,0.06230,0.09777,0.00339,0.01280,0.03719,0.06489,0.06657,0.13108,0.01433,0.02882,0.01678,-0.02942,-0.00427,-0.03331
V2,0.236-73,2023-03-20 02:35,27494.43,2023,0.02714,0.01337,-0.00700,0.01356,0.01094,0.09464,-0.00140,0.00792,0.02790,0.03178,0.05298,0.08535,0.02854,0.00545,-0.03490,-0.01822,-0.04204,0.00929
V2,0.236-74,2023-03-30 04:00,28468.50,2023,0.00408,-0.01072,0.00023,-0.01258,0.05446,0.03054,0.00419,0.00585,0.00996,0.01275,0.06321,0.03243,-0.00011,-0.01657,-0.00973,-0.02533,-0.00875,-0.00189
V2,0.236-75,2023-04-27 12:35,28677.04,2023,0.03556,0.02209,0.01840,0.01384,-0.04401,-0.07028,0.00493,0.00885,0.01992,0.01644,-0.01831,-0.04403,0.03063,0.01324,-0.00152,-0.00260,-0.02570,-0.02625
V2,0.236-76,2023-06-24 15:30,30360.81,2023,0.00523,0.00643,0.00831,0.00741,-0.00479,-0.04323,0.00177,0.00593,0.01224,0.01553,0.01116,-0.02029,0.00345,0.00050,-0.00392,-0.00811,-0.01594,-0.02294
